Handguns
	6P9
	7667798545728
	4810

	A99
	7799874237964
	4972

	D50
	7667798561609
	5202

	44 Magnum
	7667798554576
	5415

	1911
	7655442550447
	5629

	Mark IV
	7850595937797
	6004

	AJM9 Cost
	7860555523370
	6141-6144

SMGs
	A2000
	7655443881158
	12236

	BZ19
	7667814936498
	12449

	Vector
	7667814946874
	12662

	MP34
	7850613499453
	12875

	MP5
	7667814942016
	13003

	Skorpion
	7667814931889
	13216

Shotguns
	1887
	7681358432882
	11266

	D2
	7793449800029
	11445

	M133
	7655443768989
	11621

	SPAS12
	7667814507632
	11800

Assault Rifles
	700 Nitro
	7799878801479
	1102

	A52
	7681355770983
	1281

	A52 Display
	7681355770983
	1283

	AK47
	7655443393041
	1494

	AK47 Display
	7655443393041
	1496

	F1
	7667812325607
	1707

	MS16
	7667812330301
	1920

	P416
	7667812340758
	2133

	STG-90
	7667812319534
	2346

	STG-90 Display
	7667812319534
	2348

Sniper Rifles
	SA50
	7799879221118
	13429

	M700
	7667814962322
	13608

	SVD
	7655442957417
	13787

	Z93
	7667814970171
	13966

LMGs
	MG42
	7850613187731
	6844

	MKG
	7667813669984
	7040

	U100
	7667813675334
	7432

Launchers
	GL-A87
	7793449947395
	6296

	GL-94
	7667813245783
	6407

	M79
	7799879978881
	6518

	LK1018
	7799879583995
	6629

	RPG-7
	7655443952906
	6757

Special Weapons
	Auto Cross
	7793450159827
	14291

	Recurve Bow
	7708930096644
	14487

	Hunter Bow
	7850614018794
	14632

	Flare Gun
	7667815005205
	14743

	Flamethrower
	7655444308360
	14770

Signature Weapons
	Elephant Gun
	7793449244383
	2559

	Elephant Gun Cost
	7793449244383
	2570-2571

	Warrior
	7799986798150
	2576

	Warrior Display
	7799986798150
	2578

	Sandman
	7851665428848
	6279

	Sandman Cost
	7851665428848
	6290-6291**

	Cannon
	7713629405558
	11979

	ACE
	7799986727086
	11994

	ACE Cost
	7799986727086
	12003-12004

	Ripper
	7713629396907
	12009

	Driller
	7799986735051
	12024

	Driller Cost
	7799986735051
	12035-12036**

	AMR
	7713629416926
	12071

	Stormer
	7872203260487
	12116

	Rebel
	7799986762236
	12131

	Stinger
	7799986782237
	12161

	Shredder
	7713629409427
	12176

	Bushman
	7713629412987
	12206

	Trooper
	7799986791273
	12221

DLC Handguns
	DLC .44 Magnum
	7880755321006
	3837

	DLC 6P9
	7880755144002
	3853

	DLC A99
	7880755590245
	3868

	DLC D50
	7880755411332
	3883

	DLC 1911
	7880754915438
	3898

	DLC M712
	7880753861221
	3913

	DLC Mark IV
	7880753549283
	3928

DLC SMGs
	DLC A2000
	7880757875162
	4228

	DLC BZ19
	7880758117208
	4243

	DLC Vector
	7880758053894
	4258

	DLC MP34
	7880757586060
	4273

	DLC MP5
	7880757944868
	4288

	DLC Skorpion
	7880757759478
	4303

DLC Shotguns
	DLC 1887
	7880763618819
	4078

	DLC D2
	7880763528075
	4093

	DLC M133
	7880763376933
	4108

	DLC SPAS12
	7880763821664
	4123

DLC Assault Rifles
	DLC 700 Nitro
	7880770640141
	3732

	DLC A52
	7880771126618
	3747

	DLC AK47
	7880767309005
	3762

	DLC F1 
	7880770745727
	3777

	DLC MS16
	7880770860929
	3792

	DLC P416
	7880771069580
	3807

	DLC STG-90
	7880767396293
	3822

DLC Sniper Rifles
	DLC M700
	7880771664957
	4318

	DLC SA50
	7880771822642
	4333

	DLC SVD
	7880771607589
	4348

	DLC Z93
	7880771758483
	4363

DLC LMGs
	DLC MG42
	7880771506030
	4018

	DLC MKG
	7880771455129
	4033

	DLC PKM
	7880771339158
	4048

	DLC U100
	7880771395915
	4063

DLC Launchers
	DLC GL-A87
	7880772126195
	3943

	DLC GL-94
	7880771996084
	3958

	DLC LK1018
	7880772066588
	3973

	DLC M79
	7880771872698
	3988

	DLC RPG-7
	7880771928764
	4003

DLC Special Weapons
	DLC Auto Cross
	7880772819402
	4378

	DLC Flamethrower
	7880772879596
	4393

	DLC Flare Gun
	7880772594414
	4408

	DLC Hunter Bow
	7880772688464
	4423

	DLC Recurve Bow
	7880772763092
	4438

	DLC Harpoon
	7881950683662
	4453

DLC Signature Weapons
	DLC AMR
	7885731644857
	4138

	DLC Bull
	7907866384144
	4153

	DLC Buzzsaw
	7880771556371
	4168

	DLC Cannon
	7907866332660
	4183

	DLC Predator
	7907879041344
	4198

	DLC Warrior
	7907990745444
	4213
