Archetype	Name	Status
7817179307181	MK4	TRUE
7843643860462	M712	TRUE
7602852679206	1911	TRUE
198165967110753000	6P9	FALSE
7856261950860	AJM9	TRUE
7659621356400	.44MAGNUM	TRUE
7676526230171	D50	TRUE
7811421640324	A99	TRUE
7871879145786	Sixer	TRUE
7871879161042	HS77	TRUE
7736268358751	Sandman	TRUE
7736268270085	Cannon	TRUE
7851068101065	Rebel	TRUE
234194764129717000	Skorpion	FALSE
7839194428489	MP34	TRUE
7639738966830	A2000	TRUE
7660420169580	MP5	TRUE
7673158212798	BZ19	TRUE
7635867665609	VECTOR_45ACP	TRUE
7851068305950	Stinger	TRUE
7871879186683	Stormer	TRUE
7736268324038	Shredder	TRUE
7793085673987	D2	TRUE
387317151308574000	M133	FALSE
7679090312859	1887	TRUE
7663918599786	SPAS12	TRUE
7736268417451	Bull	TRUE
7788183256606	'87 (Sawedoff)	TRUE
396324350563315000	AK47	FALSE
7598204562403	STG-90	TRUE
7656527718665	F1	TRUE
7662974024304	MS16	TRUE
7679076243892	P416	TRUE
7681075617146	A52	TRUE
7851068442775	Warrior	TRUE
7851068413112	Trooper	TRUE
7736268528846	Bushman	TRUE
7851068337396	ACE	TRUE
7793085808375	700_NITRO	TRUE
7643219877072	SVD	TRUE
360295553544351000	M700	FALSE
7671716520092	Z93	TRUE
7845905656688	SA50	TRUE
7852682577829	Elephant Gun	TRUE
7852682350113	Predator	TRUE
7736268498213	AMR	TRUE
189158767856012000	PKM	FALSE
7656527572420	U100	TRUE
7677583066178	MKG	TRUE
7839486888213	MG42	TRUE
7851068586719	Driller	TRUE
7736268461389	Ripper	TRUE
7850262475190	Buzzsaw	TRUE
7809534569433	M-79	TRUE
7642716227855	GL-94	TRUE
7791542199952	GL-A87	TRUE
225187564874976000	RPG-7	FALSE
7811537217024	LK-1018	TRUE
7792905924248	Autocross	TRUE
414338749072797000	Flare Gun	FALSE
7815157545168	Bow_Primitive	TRUE
7677582256314	Bow	TRUE
7653035195592	Flamethrower	TRUE
7814513365960	Harpoon	TRUE

7842268398625	1911	TRUE
351288353112904000	6P9	FALSE
7666321880897	A2000	TRUE
7679082851354	BZ19	TRUE
153129969508602000	M133	FALSE
180151567272825000	AK47	FALSE
7679200497523	P416	TRUE
7655438234589	SVD	TRUE
108093973234897000	M700	FALSE
7679089646800	Z93	TRUE
315259556093940000	PKM	FALSE
378309950877127000	RPG-7	FALSE
7783083700635	Bow_Primitive	TRUE
7867382306977	Bow	TRUE
7655054762738	Flamethrower	TRUE
